                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3976,                 4.5846,                  4.074,                0.04999,                  0.071,                0.02925,                 0.0102,                 2.8472,                 12.148,                 4.2568,              0.0033256,              0.0033256,              0.0033256
                      2,                  2.679,                 3.3899,                 3.1411,                0.47001,                0.28631,                0.25422,                0.10522,                 2.3229,                 2.7163,                 2.9878,               0.006593,               0.006593,               0.006593
                      3,                 2.2048,                 2.6408,                 2.5823,                0.42037,                0.48236,                0.40941,                0.19323,                 2.0744,                 4.1839,                 2.6019,              0.0097944,              0.0097944,              0.0097944
                      4,                 1.9706,                 2.1694,                 2.2887,                0.65088,                0.44132,                0.46965,                0.22966,                 1.9434,                 2.6737,                 2.4326,               0.009703,               0.009703,               0.009703
                      5,                 1.8349,                 1.8696,                 2.1363,                 0.6693,                0.51011,                0.57071,                0.27836,                 1.8247,                 1.8969,                 2.3083,               0.009604,               0.009604,               0.009604
                      6,                 1.7724,                 1.6982,                 2.0449,                0.58559,                0.61622,                0.64015,                0.33029,                 1.7739,                 1.5572,                 2.2364,               0.009505,               0.009505,               0.009505
                      7,                 1.7194,                 1.5863,                 1.9825,                 0.6996,                0.63226,                0.69033,                 0.3457,                 1.7422,                 1.5984,                  2.142,               0.009406,               0.009406,               0.009406
                      8,                 1.6696,                 1.4952,                 1.9389,                 0.7035,                0.70002,                0.74764,                0.39107,                 1.6266,                 1.3965,                 2.0581,               0.009307,               0.009307,               0.009307
                      9,                  1.658,                 1.4345,                 1.9153,                0.70024,                0.70976,                0.72479,                0.38476,                 1.6157,                 1.3825,                 2.0434,               0.009208,               0.009208,               0.009208
                     10,                  1.631,                 1.3696,                 1.8822,                0.76077,                0.69982,                0.77122,                0.42312,                 1.5811,                 1.3215,                 2.0021,               0.009109,               0.009109,               0.009109
                     11,                 1.6208,                 1.3514,                 1.8789,                0.78766,                0.75429,                0.80389,                0.44497,                 1.5569,                  1.136,                 1.9758,                0.00901,                0.00901,                0.00901
                     12,                 1.6035,                 1.2971,                 1.8459,                0.78067,                0.76992,                0.81506,                0.45445,                 1.5397,                 1.1383,                 1.9367,               0.008911,               0.008911,               0.008911
                     13,                 1.5801,                 1.2454,                 1.8271,                0.81002,                  0.782,                0.85099,                0.47263,                 1.5321,                 1.1236,                 1.9453,               0.008812,               0.008812,               0.008812
                     14,                  1.571,                 1.2387,                   1.82,                0.77238,                 0.7989,                0.84146,                 0.4751,                  1.521,                 1.1246,                  1.919,               0.008713,               0.008713,               0.008713
                     15,                 1.5512,                 1.2016,                 1.7952,                0.82688,                0.80225,                0.86717,                0.49188,                 1.5064,                  1.025,                 1.8908,               0.008614,               0.008614,               0.008614
                     16,                 1.5456,                 1.1773,                  1.784,                0.83921,                0.80093,                0.87314,                0.50086,                  1.498,                 1.0092,                 1.8805,               0.008515,               0.008515,               0.008515
                     17,                 1.5391,                 1.1544,                 1.7669,                0.85838,                0.82176,                0.88046,                0.51393,                 1.4834,                0.92777,                  1.849,               0.008416,               0.008416,               0.008416
                     18,                 1.5224,                  1.132,                 1.7573,                0.86506,                0.83196,                0.89524,                0.52575,                 1.4575,                0.90806,                 1.8364,               0.008317,               0.008317,               0.008317
                     19,                  1.519,                 1.1145,                 1.7562,                0.85807,                0.83243,                0.89298,                0.51501,                  1.463,                0.96688,                 1.8525,               0.008218,               0.008218,               0.008218
                     20,                 1.4993,                 1.0877,                   1.74,                0.87083,                0.81982,                0.89816,                0.53248,                 1.4377,                0.91792,                 1.8039,               0.008119,               0.008119,               0.008119
                     21,                 1.4981,                 1.0831,                 1.7215,                0.84774,                0.83498,                  0.895,                0.52953,                 1.4487,                0.90216,                 1.8137,                0.00802,                0.00802,                0.00802
                     22,                 1.4817,                  1.059,                 1.7135,                0.87154,                0.84427,                0.90357,                0.53513,                  1.434,                0.89121,                 1.7951,               0.007921,               0.007921,               0.007921
                     23,                 1.4872,                 1.0609,                 1.7171,                0.87377,                0.85786,                0.91978,                0.55762,                 1.3892,                0.84641,                 1.7619,               0.007822,               0.007822,               0.007822
                     24,                 1.4621,                 1.0435,                 1.7019,                 0.8871,                0.84968,                0.91311,                0.55326,                 1.4093,                0.83551,                 1.7849,               0.007723,               0.007723,               0.007723
                     25,                 1.4651,                 1.0237,                 1.6955,                0.86337,                0.86631,                0.91236,                0.55053,                 1.4035,                0.86012,                  1.791,               0.007624,               0.007624,               0.007624
                     26,                 1.4523,                 1.0186,                 1.6845,                0.90067,                0.87135,                0.92758,                0.56412,                 1.3896,                0.79716,                 1.7421,               0.007525,               0.007525,               0.007525
                     27,                 1.4533,                0.99004,                 1.6828,                0.87537,                 0.8802,                0.92564,                0.56014,                 1.4003,                0.81041,                 1.7562,               0.007426,               0.007426,               0.007426
                     28,                 1.4386,                0.98055,                 1.6788,                0.87333,                0.88984,                0.92875,                0.56639,                 1.3812,                0.78412,                 1.7226,               0.007327,               0.007327,               0.007327
                     29,                   1.44,                0.98163,                 1.6712,                0.88746,                0.87915,                0.93066,                0.56895,                 1.3866,                0.78799,                 1.7599,               0.007228,               0.007228,               0.007228
                     30,                 1.4269,                 0.9694,                 1.6599,                0.89533,                0.88149,                 0.9368,                0.57417,                 1.3832,                0.76825,                  1.729,               0.007129,               0.007129,               0.007129
                     31,                 1.4279,                0.95983,                 1.6646,                0.90002,                0.87964,                0.93588,                0.57709,                 1.3649,                0.75403,                 1.7255,                0.00703,                0.00703,                0.00703
